payout_id,influencer_id,basis,rate,orders,total_payout
p_out_001,inf_001,Post,449904.56,0,449904.56
p_out_002,inf_001,Post,449904.56,0,449904.56
p_out_003,inf_001,Post,449904.56,0,449904.56
p_out_004,inf_001,Post,449904.56,0,449904.56
p_out_005,inf_002,Order,0.08,1,304.0
p_out_006,inf_002,Order,0.08,1,72.0
p_out_007,inf_002,Order,0.08,1,72.0
p_out_008,inf_002,Order,0.08,1,304.0
p_out_009,inf_002,Order,0.08,1,120.0
p_out_010,inf_002,Order,0.08,1,120.0
p_out_011,inf_002,Order,0.08,1,120.0
p_out_012,inf_002,Order,0.08,1,120.0
p_out_013,inf_002,Order,0.08,1,96.0
p_out_014,inf_002,Order,0.08,1,120.0
p_out_015,inf_002,Order,0.08,1,72.0
p_out_016,inf_002,Order,0.08,1,72.0
p_out_017,inf_002,Order,0.08,1,28.0
p_out_018,inf_002,Order,0.08,1,72.0
p_out_019,inf_002,Order,0.08,1,28.0
p_out_020,inf_002,Order,0.08,1,36.0
p_out_021,inf_002,Order,0.08,1,36.0
p_out_022,inf_002,Order,0.08,1,72.0
p_out_023,inf_002,Order,0.08,1,28.0
p_out_024,inf_002,Order,0.08,1,28.0
p_out_025,inf_002,Order,0.08,1,28.0
p_out_026,inf_002,Order,0.08,1,36.0
p_out_027,inf_002,Order,0.08,1,72.0
p_out_028,inf_002,Order,0.08,1,72.0
p_out_029,inf_002,Order,0.08,1,36.0
p_out_030,inf_002,Order,0.08,1,36.0
p_out_031,inf_002,Order,0.08,1,28.0
p_out_032,inf_002,Order,0.08,1,28.0
p_out_033,inf_002,Order,0.08,1,72.0
p_out_034,inf_002,Order,0.08,1,28.0
p_out_035,inf_002,Order,0.08,1,28.0
p_out_036,inf_002,Order,0.08,1,72.0
p_out_037,inf_002,Order,0.08,1,28.0
p_out_038,inf_002,Order,0.08,1,72.0
p_out_039,inf_002,Order,0.08,1,28.0
p_out_040,inf_002,Order,0.08,1,28.0
p_out_041,inf_002,Order,0.08,1,36.0
p_out_042,inf_002,Order,0.08,1,36.0
p_out_043,inf_002,Order,0.08,1,72.0
p_out_044,inf_002,Order,0.08,1,36.0
p_out_045,inf_002,Order,0.08,1,28.0
p_out_046,inf_002,Order,0.08,1,28.0
p_out_047,inf_002,Order,0.08,1,36.0
p_out_048,inf_002,Order,0.08,1,28.0
p_out_049,inf_002,Order,0.08,1,28.0
p_out_050,inf_002,Order,0.08,1,28.0
p_out_051,inf_002,Order,0.08,1,28.0
p_out_052,inf_002,Order,0.08,1,36.0
p_out_053,inf_002,Order,0.08,1,36.0
p_out_054,inf_002,Order,0.08,1,36.0
p_out_055,inf_002,Order,0.08,1,72.0
p_out_056,inf_002,Order,0.08,1,36.0
p_out_057,inf_002,Order,0.08,1,72.0
p_out_058,inf_002,Order,0.08,1,72.0
p_out_059,inf_002,Order,0.08,1,36.0
p_out_060,inf_002,Order,0.08,1,28.0
p_out_061,inf_002,Order,0.08,1,72.0
p_out_062,inf_002,Order,0.08,1,72.0
p_out_063,inf_002,Order,0.08,1,72.0
p_out_064,inf_002,Order,0.08,1,72.0
p_out_065,inf_002,Order,0.08,1,72.0
p_out_066,inf_002,Order,0.08,1,72.0
p_out_067,inf_002,Order,0.08,1,96.0
p_out_068,inf_002,Order,0.08,1,72.0
p_out_069,inf_002,Order,0.08,1,96.0
p_out_070,inf_002,Order,0.08,1,96.0
p_out_071,inf_002,Order,0.08,1,72.0
p_out_072,inf_002,Order,0.08,1,304.0
p_out_073,inf_002,Order,0.08,1,120.0
p_out_074,inf_002,Order,0.08,1,96.0
p_out_075,inf_002,Order,0.08,1,96.0
p_out_076,inf_002,Order,0.08,1,72.0
p_out_077,inf_002,Order,0.08,1,96.0
p_out_078,inf_002,Order,0.08,1,96.0
p_out_079,inf_002,Order,0.08,1,304.0
p_out_080,inf_002,Order,0.08,1,304.0
p_out_081,inf_002,Order,0.08,1,120.0
p_out_082,inf_002,Order,0.08,1,72.0
p_out_083,inf_002,Order,0.08,1,120.0
p_out_084,inf_002,Order,0.08,1,28.0
p_out_085,inf_002,Order,0.08,1,36.0
p_out_086,inf_002,Order,0.08,1,36.0
p_out_087,inf_002,Order,0.08,1,36.0
p_out_088,inf_002,Order,0.08,1,28.0
p_out_089,inf_002,Order,0.08,1,72.0
p_out_090,inf_002,Order,0.08,1,28.0
p_out_091,inf_002,Order,0.08,1,72.0
p_out_092,inf_002,Order,0.08,1,28.0
p_out_093,inf_002,Order,0.08,1,72.0
p_out_094,inf_002,Order,0.08,1,72.0
p_out_095,inf_002,Order,0.08,1,72.0
p_out_096,inf_002,Order,0.08,1,36.0
p_out_097,inf_002,Order,0.08,1,28.0
p_out_098,inf_002,Order,0.08,1,72.0
p_out_099,inf_002,Order,0.08,1,36.0
p_out_100,inf_002,Order,0.08,1,72.0
p_out_101,inf_002,Order,0.08,1,36.0
p_out_102,inf_002,Order,0.08,1,28.0
p_out_103,inf_002,Order,0.08,1,36.0
p_out_104,inf_002,Order,0.08,1,36.0
p_out_105,inf_002,Order,0.08,1,28.0
p_out_106,inf_002,Order,0.08,1,28.0
p_out_107,inf_002,Order,0.08,1,28.0
p_out_108,inf_002,Order,0.08,1,28.0
p_out_109,inf_002,Order,0.08,1,36.0
p_out_110,inf_002,Order,0.08,1,28.0
p_out_111,inf_002,Order,0.08,1,28.0
p_out_112,inf_002,Order,0.08,1,72.0
p_out_113,inf_002,Order,0.08,1,28.0
p_out_114,inf_002,Order,0.08,1,36.0
p_out_115,inf_003,Order,0.08,1,52.0
p_out_116,inf_003,Order,0.08,1,76.0
p_out_117,inf_003,Order,0.08,1,52.0
p_out_118,inf_003,Order,0.08,1,76.0
p_out_119,inf_003,Order,0.08,1,64.0
p_out_120,inf_003,Order,0.08,1,144.0
p_out_121,inf_003,Order,0.08,1,52.0
p_out_122,inf_003,Order,0.08,1,52.0
p_out_123,inf_003,Order,0.08,1,64.0
p_out_124,inf_003,Order,0.08,1,64.0
